/BL (modelFiles=gpdk045.scs:ff) X,/BL (modelFiles=gpdk045.scs:ff) Y,/BLB (modelFiles=gpdk045.scs:ff) X,/BLB (modelFiles=gpdk045.scs:ff) Y,/Q (modelFiles=gpdk045.scs:ff) X,/Q (modelFiles=gpdk045.scs:ff) Y,/QB (modelFiles=gpdk045.scs:ff) X,/QB (modelFiles=gpdk045.scs:ff) Y,/VDD (modelFiles=gpdk045.scs:ff) X,/VDD (modelFiles=gpdk045.scs:ff) Y,/WL (modelFiles=gpdk045.scs:ff) X,/WL (modelFiles=gpdk045.scs:ff) Y,/V0/PLUS (modelFiles=gpdk045.scs:ff) X,/V0/PLUS (modelFiles=gpdk045.scs:ff) Y
2.992663676215e-09,1.2,2.992663676215e-09,0,2.992663676215e-09,0.008054701827369172,2.992663676215e-09,1.20925668722207,2.992663676215e-09,1.2,2.992663676215e-09,0.3196411458233837,2.992663676215e-09,1.872823665437668e-06
2.994960508941e-09,1.2,2.994960508941e-09,0,2.994960508941e-09,0.0197388438327973,2.994960508941e-09,1.201891899583849,2.994960508941e-09,1.2,2.994960508941e-09,0.5952610729452894,2.994960508941e-09,-1.743904975281376e-07
2.997230047526e-09,1.2,2.997230047526e-09,0,2.997230047526e-09,0.05143513877101753,2.997230047526e-09,1.150036391540879,2.997230047526e-09,1.2,2.997230047526e-09,0.8676057031245736,2.997230047526e-09,-1.339647360232983e-05
2.998615023763e-09,1.2,2.998615023763e-09,0,2.998615023763e-09,0.08562948167499926,2.998615023763e-09,1.08114805648636,2.998615023763e-09,1.2,2.998615023763e-09,1.033802851562287,2.998615023763e-09,-2.176359973793501e-05
2.999307511881e-09,1.2,2.999307511881e-09,0,2.999307511881e-09,0.1080768339977878,2.999307511881e-09,1.033368663724427,2.999307511881e-09,1.2,2.999307511881e-09,1.116901425781143,2.999307511881e-09,-2.570266247049545e-05
3e-09,1.2,3e-09,0,3e-09,0.1358294242435819,3e-09,0.9755975970164196,3e-09,1.2,3e-09,1.2,3e-09,-2.757420669454988e-05
3.000005212673e-09,1.2,3.000005212673e-09,0,3.000005212673e-09,0.1360043258137894,3.000005212673e-09,0.9750926108484227,3.000005212673e-09,1.2,3.000005212673e-09,1.2,3.000005212673e-09,-2.975338171228074e-05
3.00001563802e-09,1.2,3.00001563802e-09,0,3.00001563802e-09,0.1363200667320047,3.00001563802e-09,0.974062370593781,3.00001563802e-09,1.2,3.00001563802e-09,1.2,3.00001563802e-09,-3.15198175441921e-05
3.000020850694e-09,1.2,3.000020850694e-09,0,3.000020850694e-09,0.1364668327176166,3.000020850694e-09,0.9735411732287905,3.000020850694e-09,1.2,3.000020850694e-09,1.2,3.000020850694e-09,-3.119237637845313e-05
3.000023457031e-09,1.2,3.000023457031e-09,0,3.000023457031e-09,0.1365426629447002,3.000023457031e-09,0.9732822621986017,3.000023457031e-09,1.2,3.000023457031e-09,1.2,3.000023457031e-09,-3.117022210152543e-05
3.000028669704e-09,1.2,3.000028669704e-09,0,3.000028669704e-09,0.1366934200592468,3.000028669704e-09,0.9727641965565751,3.000028669704e-09,1.2,3.000028669704e-09,1.2,3.000028669704e-09,-3.120017531821462e-05
3.000039095052e-09,1.2,3.000039095052e-09,0,3.000039095052e-09,0.1369954275119629,3.000039095052e-09,0.9717292131748425,3.000039095052e-09,1.2,3.000039095052e-09,1.2,3.000039095052e-09,-3.119964356171874e-05
3.000059945746e-09,1.2,3.000059945746e-09,0,3.000059945746e-09,0.1376007504625497,3.000059945746e-09,0.969662863299369,3.000059945746e-09,1.2,3.000059945746e-09,1.2,3.000059945746e-09,-3.126871392908812e-05
3.000101647135e-09,1.2,3.000101647135e-09,0,3.000101647135e-09,0.1388166420848493,3.000101647135e-09,0.965544932841366,3.000101647135e-09,1.2,3.000101647135e-09,1.2,3.000101647135e-09,-3.13491151440369e-05
3.000185049913e-09,1.2,3.000185049913e-09,0,3.000185049913e-09,0.1412695648820018,3.000185049913e-09,0.9573686126471025,3.000185049913e-09,1.2,3.000185049913e-09,1.2,3.000185049913e-09,-3.156042911485047e-05
3.000351855468e-09,1.2,3.000351855468e-09,0,3.000351855468e-09,0.1462610872733124,3.000351855468e-09,0.9412565090873696,3.000351855468e-09,1.2,3.000351855468e-09,1.2,3.000351855468e-09,-3.191748130381967e-05
3.000685466579e-09,1.2,3.000685466579e-09,0,3.000685466579e-09,0.1565854811092785,3.000685466579e-09,0.9099793388681744,3.000685466579e-09,1.2,3.000685466579e-09,1.2,3.000685466579e-09,-3.259287091043686e-05
3.001352688802e-09,1.2,3.001352688802e-09,0,3.001352688802e-09,0.1785403745570269,3.001352688802e-09,0.8508364448700133,3.001352688802e-09,1.2,3.001352688802e-09,1.2,3.001352688802e-09,-3.344696151652033e-05
3.002687133246e-09,1.2,3.002687133246e-09,0,3.002687133246e-09,0.2279074879160883,3.002687133246e-09,0.7426355075802604,3.002687133246e-09,1.2,3.002687133246e-09,1.2,3.002687133246e-09,-3.378389863528776e-05
3.004406881844e-09,1.2,3.004406881844e-09,0,3.004406881844e-09,0.3019329571453415,3.004406881844e-09,0.6144551332636304,3.004406881844e-09,1.2,3.004406881844e-09,1.2,3.004406881844e-09,-3.44231595742207e-05
3.006283400378e-09,1.2,3.006283400378e-09,0,3.006283400378e-09,0.3916047288662043,3.006283400378e-09,0.4776524789203034,3.006283400378e-09,1.2,3.006283400378e-09,1.2,3.006283400378e-09,-3.733620456057158e-05
3.008320469183e-09,1.2,3.008320469183e-09,0,3.008320469183e-09,0.4940269019443234,3.008320469183e-09,0.3289390097151669,3.008320469183e-09,1.2,3.008320469183e-09,1.2,3.008320469183e-09,-4.097537818495202e-05
3.011200325832e-09,1.2,3.011200325832e-09,0,3.011200325832e-09,0.6579487200442191,3.011200325832e-09,0.151759065057404,3.011200325832e-09,1.2,3.011200325832e-09,1.2,3.011200325832e-09,-3.873609999173006e-05
3.013228998537e-09,1.2,3.013228998537e-09,0,3.013228998537e-09,0.7918642441416657,3.013228998537e-09,0.07646633745795836,3.013228998537e-09,1.2,3.013228998537e-09,1.2,3.013228998537e-09,-3.299044892171345e-05
3.015196893469e-09,1.2,3.015196893469e-09,0,3.015196893469e-09,0.9196769168984512,3.015196893469e-09,0.04186958834839267,3.015196893469e-09,1.2,3.015196893469e-09,1.2,3.015196893469e-09,-2.590807804047289e-05
3.017307172233e-09,1.2,3.017307172233e-09,0,3.017307172233e-09,1.025497708549686,3.017307172233e-09,0.02362498397321979,3.017307172233e-09,1.2,3.017307172233e-09,1.2,3.017307172233e-09,-1.68754459304734e-05
3.019047385475e-09,1.2,3.019047385475e-09,0,3.019047385475e-09,1.082933822687772,3.019047385475e-09,0.01503857406931708,3.019047385475e-09,1.2,3.019047385475e-09,1.2,3.019047385475e-09,-1.150815355885959e-05
3.021437432147e-09,1.2,3.021437432147e-09,0,3.021437432147e-09,1.132627142488312,3.021437432147e-09,0.008291849330006935,3.021437432147e-09,1.2,3.021437432147e-09,1.2,3.021437432147e-09,-6.580824541043309e-06
3.023733600294e-09,1.2,3.023733600294e-09,0,3.023733600294e-09,1.16055739793195,3.023733600294e-09,0.004797432283318501,3.023733600294e-09,1.2,3.023733600294e-09,1.2,3.023733600294e-09,-4.04210623732631e-06
3.026290458116e-09,1.2,3.026290458116e-09,0,3.026290458116e-09,1.178448137742001,3.026290458116e-09,0.002616925681016729,3.026290458116e-09,1.2,3.026290458116e-09,1.2,3.026290458116e-09,-2.090988743466453e-06
3.029289579604e-09,1.2,3.029289579604e-09,0,3.029289579604e-09,1.189529780254629,3.029289579604e-09,0.001271815602915554,3.029289579604e-09,1.2,3.029289579604e-09,1.2,3.029289579604e-09,-1.154421977546798e-06
3.032935029012e-09,1.2,3.032935029012e-09,0,3.032935029012e-09,1.195744036068094,3.032935029012e-09,0.0005187966000087535,3.032935029012e-09,1.2,3.032935029012e-09,1.2,3.032935029012e-09,-3.470146177898966e-07
