/BL (modelFiles=gpdk045.scs:ff) X,/BL (modelFiles=gpdk045.scs:ff) Y,/BLB (modelFiles=gpdk045.scs:ff) X,/BLB (modelFiles=gpdk045.scs:ff) Y,/Q (modelFiles=gpdk045.scs:ff) X,/Q (modelFiles=gpdk045.scs:ff) Y,/QB (modelFiles=gpdk045.scs:ff) X,/QB (modelFiles=gpdk045.scs:ff) Y,/VDD (modelFiles=gpdk045.scs:ff) X,/VDD (modelFiles=gpdk045.scs:ff) Y,/WL (modelFiles=gpdk045.scs:ff) X,/WL (modelFiles=gpdk045.scs:ff) Y,/V0/PLUS (modelFiles=gpdk045.scs:ff) X,/V0/PLUS (modelFiles=gpdk045.scs:ff) Y
2.071895709745e-09,1.2,2.071895709745e-09,0,2.071895709745e-09,8.338942165927595e-07,2.071895709745e-09,1.199996959256383,2.071895709745e-09,1.2,2.071895709745e-09,0,2.071895709745e-09,-1.775532055446515e-09
2.143769110993e-09,1.2,2.143769110993e-09,0,2.143769110993e-09,8.338918164462778e-07,2.143769110993e-09,1.199996941424514,2.143769110993e-09,1.2,2.143769110993e-09,0,2.143769110993e-09,7.766767301205254e-10
2.287515913489e-09,1.2,2.287515913489e-09,0,2.287515913489e-09,8.336237417233691e-07,2.287515913489e-09,1.199996960026244,2.287515913489e-09,1.2,2.287515913489e-09,0,2.287515913489e-09,-1.774900022709594e-09
2.575009518482e-09,1.2,2.575009518482e-09,0,2.575009518482e-09,8.340268631205919e-07,2.575009518482e-09,1.199996941104854,2.575009518482e-09,1.2,2.575009518482e-09,0,2.575009518482e-09,7.76368489770014e-10
2.99e-09,1.2,2.99e-09,0,2.99e-09,8.335536113597389e-07,2.99e-09,1.199996960191308,2.99e-09,1.2,2.99e-09,0,2.99e-09,-1.774727892532122e-09
2.990005212673e-09,1.2,2.990005212673e-09,0,2.990005212673e-09,2.803282170634702e-05,2.990005212673e-09,1.200025869767641,2.990005212673e-09,1.2,2.990005212673e-09,0.0006255208333138624,2.990005212673e-09,1.079377791016853e-06
2.99001563802e-09,1.2,2.99001563802e-09,0,2.99001563802e-09,8.711034108174036e-05,2.99001563802e-09,1.200089887017494,2.99001563802e-09,1.2,2.99001563802e-09,0.001876562499941587,2.99001563802e-09,1.668584548104056e-06
2.990036488715e-09,1.2,2.990036488715e-09,0,2.990036488715e-09,0.0001971045625172937,2.990036488715e-09,1.200212978116922,2.990036488715e-09,1.2,2.990036488715e-09,0.004378645833197037,2.990036488715e-09,1.28325969741792e-06
2.990078190104e-09,1.2,2.990078190104e-09,0,2.990078190104e-09,0.0004106585509960402,2.990078190104e-09,1.200453255984064,2.990078190104e-09,1.2,2.990078190104e-09,0.009382812499707937,2.990078190104e-09,1.572411514985503e-06
2.990161592881e-09,1.2,2.990161592881e-09,0,2.990161592881e-09,0.0008248144100728191,2.990161592881e-09,1.200923115220331,2.990161592881e-09,1.2,2.990161592881e-09,0.01939114583272973,2.990161592881e-09,1.346504599028947e-06
2.990328398437e-09,1.2,2.990328398437e-09,0,2.990328398437e-09,0.001590286161415282,2.990328398437e-09,1.201808978785221,2.990328398437e-09,1.2,2.990328398437e-09,0.03940781249877334,2.990328398437e-09,1.596705173000774e-06
2.990662009548e-09,1.2,2.990662009548e-09,0,2.990662009548e-09,0.002917305097236993,2.990662009548e-09,1.203400732678551,2.990662009548e-09,1.2,2.990662009548e-09,0.07944114583086052,2.990662009548e-09,1.44285770553904e-06
2.99132923177e-09,1.2,2.99132923177e-09,0,2.99132923177e-09,0.004961177320436035,2.99132923177e-09,1.20599202599812,2.99132923177e-09,1.2,2.99132923177e-09,0.1595078124950349,2.99132923177e-09,1.778235299185049e-06
2.992663676215e-09,1.2,2.992663676215e-09,0,2.992663676215e-09,0.008168993324593327,2.992663676215e-09,1.209485206234969,2.992663676215e-09,1.2,2.992663676215e-09,0.3196411458233837,2.992663676215e-09,1.842099090039899e-06
2.994916779422e-09,1.2,2.994916779422e-09,0,2.994916779422e-09,0.01955427371805408,2.994916779422e-09,1.20228654656688,2.994916779422e-09,1.2,2.994916779422e-09,0.5900135307316885,2.994916779422e-09,-9.485797816363079e-08
2.997167091854e-09,1.2,2.997167091854e-09,0,2.997167091854e-09,0.05087635416228094,2.997167091854e-09,1.149631389173347,2.997167091854e-09,1.2,2.997167091854e-09,0.8600510225884006,2.997167091854e-09,-1.286359580050822e-05
2.998583545927e-09,1.2,2.998583545927e-09,0,2.998583545927e-09,0.08605334483245486,2.998583545927e-09,1.074177165581156,2.998583545927e-09,1.2,2.998583545927e-09,1.0300255112942,2.998583545927e-09,-2.046086792505348e-05
2.999419975765e-09,1.2,2.999419975765e-09,0,2.999419975765e-09,0.1143563912523353,2.999419975765e-09,1.00866130627475,2.999419975765e-09,1.2,2.999419975765e-09,1.130397091815111,2.999419975765e-09,-2.382375080549833e-05
2.999709987882e-09,1.2,2.999709987882e-09,0,2.999709987882e-09,0.1261244389199393,2.999709987882e-09,0.9822436197666612,2.999709987882e-09,1.2,2.999709987882e-09,1.165198545907531,2.999709987882e-09,-2.45245427698849e-05
3e-09,1.2,3e-09,0,3e-09,0.139248740866673,3e-09,0.9540408537301575,3e-09,1.2,3e-09,1.19999999999995,3e-09,-2.528878137547274e-05
3.000005212673e-09,1.2,3.000005212673e-09,0,3.000005212673e-09,0.1394312007672302,3.000005212673e-09,0.9534793436314003,3.000005212673e-09,1.2,3.000005212673e-09,1.2,3.000005212673e-09,-2.698735250761168e-05
3.00001563802e-09,1.2,3.00001563802e-09,0,3.00001563802e-09,0.1397656776814828,3.00001563802e-09,0.952338251132018,3.00001563802e-09,1.2,3.00001563802e-09,1.2,3.00001563802e-09,-2.847085021820617e-05
3.000020850694e-09,1.2,3.000020850694e-09,0,3.000020850694e-09,0.1399224858247871,3.000020850694e-09,0.9517622509351282,3.000020850694e-09,1.2,3.000020850694e-09,1.2,3.000020850694e-09,-2.819992976735968e-05
3.000023457031e-09,1.2,3.000023457031e-09,0,3.000023457031e-09,0.1400029721869216,3.000023457031e-09,0.9514758320736998,3.000023457031e-09,1.2,3.000023457031e-09,1.2,3.000023457031e-09,-2.816157330519974e-05
3.000028669704e-09,1.2,3.000028669704e-09,0,3.000028669704e-09,0.1401633506372993,3.000028669704e-09,0.9509028558945953,3.000028669704e-09,1.2,3.000028669704e-09,1.2,3.000028669704e-09,-2.819295791850778e-05
3.000039095052e-09,1.2,3.000039095052e-09,0,3.000039095052e-09,0.1404847032466839,3.000039095052e-09,0.9497579148427702,3.000039095052e-09,1.2,3.000039095052e-09,1.2,3.000039095052e-09,-2.817763891798388e-05
3.000059945746e-09,1.2,3.000059945746e-09,0,3.000059945746e-09,0.141129108894116,3.000059945746e-09,0.9474714175515665,3.000059945746e-09,1.2,3.000059945746e-09,1.2,3.000059945746e-09,-2.822588832764166e-05
3.000101647135e-09,1.2,3.000101647135e-09,0,3.000101647135e-09,0.1424246121056288,3.000101647135e-09,0.9429118754653278,3.000101647135e-09,1.2,3.000101647135e-09,1.2,3.000101647135e-09,-2.825191014045821e-05
3.000185049913e-09,1.2,3.000185049913e-09,0,3.000185049913e-09,0.145042480116454,3.000185049913e-09,0.9338453164280622,3.000185049913e-09,1.2,3.000185049913e-09,1.2,3.000185049913e-09,-2.835437804711055e-05
3.000351855468e-09,1.2,3.000351855468e-09,0,3.000351855468e-09,0.1503858340250098,3.000351855468e-09,0.9159116923931282,3.000351855468e-09,1.2,3.000351855468e-09,1.2,3.000351855468e-09,-2.845007540357304e-05
