/BL (modelFiles=gpdk045.scs:tt) X,/BL (modelFiles=gpdk045.scs:tt) Y,/BLB (modelFiles=gpdk045.scs:tt) X,/BLB (modelFiles=gpdk045.scs:tt) Y,/Q (modelFiles=gpdk045.scs:tt) X,/Q (modelFiles=gpdk045.scs:tt) Y,/QB (modelFiles=gpdk045.scs:tt) X,/QB (modelFiles=gpdk045.scs:tt) Y,/VDD (modelFiles=gpdk045.scs:tt) X,/VDD (modelFiles=gpdk045.scs:tt) Y,/WL (modelFiles=gpdk045.scs:tt) X,/WL (modelFiles=gpdk045.scs:tt) Y,/V0/PLUS (modelFiles=gpdk045.scs:tt) X,/V0/PLUS (modelFiles=gpdk045.scs:tt) Y
3.00034409375e-09,1,3.00034409375e-09,0,3.00034409375e-09,0.08155726656195657,3.00034409375e-09,0.8722057403644694,3.00034409375e-09,1,3.00034409375e-09,1,3.00034409375e-09,-1.757859535737749e-05
3.000677760416e-09,1,3.000677760416e-09,0,3.000677760416e-09,0.08774089052635425,3.000677760416e-09,0.850054054311549,3.000677760416e-09,1,3.000677760416e-09,1,3.000677760416e-09,-1.794670401716821e-05
3.00134509375e-09,1,3.00134509375e-09,0,3.00134509375e-09,0.1009372041342857,3.00134509375e-09,0.8072277502137162,3.00134509375e-09,1,3.00134509375e-09,1,3.00134509375e-09,-1.845240899277235e-05
3.002679760416e-09,1,3.002679760416e-09,0,3.002679760416e-09,0.1306551487521757,3.002679760416e-09,0.7259875772890617,3.002679760416e-09,1,3.002679760416e-09,1,3.002679760416e-09,-1.826741662455068e-05
3.004836014256e-09,1,3.004836014256e-09,0,3.004836014256e-09,0.1810308486917743,3.004836014256e-09,0.5985098081440194,3.004836014256e-09,1,3.004836014256e-09,1,3.004836014256e-09,-1.688545582738844e-05
3.006896783283e-09,1,3.006896783283e-09,0,3.006896783283e-09,0.2226000990153989,3.006896783283e-09,0.4756175952766752,3.006896783283e-09,1,3.006896783283e-09,1,3.006896783283e-09,-1.709587841341026e-05
3.009220313292e-09,1,3.009220313292e-09,0,3.009220313292e-09,0.2647431833288104,3.009220313292e-09,0.3427403619835028,3.009220313292e-09,1,3.009220313292e-09,1,3.009220313292e-09,-1.953269229720381e-05
3.012073742254e-09,1,3.012073742254e-09,0,3.012073742254e-09,0.3346353246078136,3.012073742254e-09,0.204584953399935,3.012073742254e-09,1,3.012073742254e-09,1,3.012073742254e-09,-2.188908527570327e-05
3.014253485438e-09,1,3.014253485438e-09,0,3.014253485438e-09,0.4122888974328326,3.014253485438e-09,0.1277833407420781,3.014253485438e-09,1,3.014253485438e-09,1,3.014253485438e-09,-2.136617770880191e-05
3.016876970063e-09,1,3.016876970063e-09,0,3.016876970063e-09,0.5325660724117299,3.016876970063e-09,0.07208951550998344,3.016876970063e-09,1,3.016876970063e-09,1,3.016876970063e-09,-2.022077266552335e-05
3.018984754421e-09,1,3.018984754421e-09,0,3.018984754421e-09,0.6391486596271122,3.018984754421e-09,0.04756298192303987,3.018984754421e-09,1,3.018984754421e-09,1,3.018984754421e-09,-1.950541298157852e-05
3.021439615961e-09,1,3.021439615961e-09,0,3.021439615961e-09,0.7538257580808997,3.021439615961e-09,0.03086105195148966,3.021439615961e-09,1,3.021439615961e-09,1,3.021439615961e-09,-1.661194029417317e-05
3.023553117884e-09,1,3.023553117884e-09,0,3.023553117884e-09,0.8344409265908854,3.023553117884e-09,0.02100992418732374,3.023553117884e-09,1,3.023553117884e-09,1,3.023553117884e-09,-1.337089333544505e-05
3.026054893068e-09,1,3.026054893068e-09,0,3.026054893068e-09,0.9011978967906923,3.026054893068e-09,0.01258657962908511,3.026054893068e-09,1,3.026054893068e-09,1,3.026054893068e-09,-8.249063354513455e-06
3.0290979063e-09,1,3.0290979063e-09,0,3.0290979063e-09,0.9482093697338322,3.0290979063e-09,0.006383894045300098,3.0290979063e-09,1,3.0290979063e-09,1,3.0290979063e-09,-4.743047029976221e-06
3.032531718992e-09,1,3.032531718992e-09,0,3.032531718992e-09,0.9754615151684202,3.032531718992e-09,0.002952759690631948,3.032531718992e-09,1,3.032531718992e-09,1,3.032531718992e-09,-2.049527321152087e-06
3.035459762571e-09,1,3.035459762571e-09,0,3.035459762571e-09,0.9870621719218631,3.035459762571e-09,0.001558224360974623,3.035459762571e-09,1,3.035459762571e-09,1,3.035459762571e-09,-1.357973039159591e-06
3.038950515844e-09,1,3.038950515844e-09,0,3.038950515844e-09,0.9940691259964186,3.038950515844e-09,0.0007125869168935816,3.038950515844e-09,1,3.038950515844e-09,1,3.038950515844e-09,-3.761135398246524e-07
3.043157171868e-09,1,3.043157171868e-09,0,3.043157171868e-09,0.9977487223223325,3.043157171868e-09,0.0002719291817534552,3.043157171868e-09,1,3.043157171868e-09,1,3.043157171868e-09,-3.799694435668075e-07
3.048620053007e-09,1,3.048620053007e-09,0,3.048620053007e-09,0.9994101805079656,3.048620053007e-09,7.007239561851037e-05,3.048620053007e-09,1,3.048620053007e-09,1,3.048620053007e-09,1.160577405977831e-07
3.055738857066e-09,1,3.055738857066e-09,0,3.055738857066e-09,0.9999213855805623,3.055738857066e-09,1.041529022406343e-05,3.055738857066e-09,1,3.055738857066e-09,1,3.055738857066e-09,-1.779265160681407e-07
3.065731009132e-09,1,3.065731009132e-09,0,3.065731009132e-09,1.000002448226604,3.065731009132e-09,-1.174408914721096e-06,3.065731009132e-09,1,3.065731009132e-09,1,3.065731009132e-09,1.705876585930542e-07
3.081181148243e-09,1,3.081181148243e-09,0,3.081181148243e-09,0.9999995980359868,3.081181148243e-09,9.147134658444934e-07,3.081181148243e-09,1,3.081181148243e-09,1,3.081181148243e-09,-1.703071656602483e-07
3.109517598451e-09,1,3.109517598451e-09,0,3.109517598451e-09,0.9999997896831001,3.109517598451e-09,-7.889667823704376e-07,3.109517598451e-09,1,3.109517598451e-09,1,3.109517598451e-09,1.701685440558255e-07
3.166190498868e-09,1,3.166190498868e-09,0,3.166190498868e-09,1.000000075012936,3.166190498868e-09,8.002889549790327e-07,3.166190498868e-09,1,3.166190498868e-09,1,3.166190498868e-09,-1.70173730341627e-07
3.2795362997e-09,1,3.2795362997e-09,0,3.2795362997e-09,0.9999996503118691,3.2795362997e-09,-6.750213976046596e-07,3.2795362997e-09,1,3.2795362997e-09,1,3.2795362997e-09,1.701126877176956e-07
3.506227901366e-09,1,3.506227901366e-09,0,3.506227901366e-09,1.000000113737542,3.506227901366e-09,6.538179043920051e-07,3.506227901366e-09,1,3.506227901366e-09,1,3.506227901366e-09,-1.701497914221906e-07
3.959611104696e-09,1,3.959611104696e-09,0,3.959611104696e-09,0.9999996476061972,3.959611104696e-09,-5.192411049455476e-07,3.959611104696e-09,1,3.959611104696e-09,1,3.959611104696e-09,1.701031385653646e-07
4.559611104696e-09,1,4.559611104696e-09,0,4.559611104696e-09,1.000000104173723,4.559611104696e-09,4.999164407580931e-07,4.559611104696e-09,1,4.559611104696e-09,1,4.559611104696e-09,-1.701458617693373e-07
5.159611104695999e-09,1,5.159611104695999e-09,0,5.159611104695999e-09,0.9999996505979292,5.159611104695999e-09,-4.312341643675156e-07,5.159611104695999e-09,1,5.159611104695999e-09,1,5.159611104695999e-09,1.700991505616729e-07
5.759611104696e-09,1,5.759611104696e-09,0,5.759611104696e-09,1.000000111745142,5.759611104696e-09,4.885627949681229e-07,5.759611104696e-09,1,5.759611104696e-09,1,5.759611104696e-09,-1.701404754596853e-07
5.999999999999999e-09,1,5.999999999999999e-09,0,5.999999999999999e-09,0.9999996355867332,5.999999999999999e-09,-4.304213729978473e-07,5.999999999999999e-09,1,5.999999999999999e-09,1,5.999999999999999e-09,1.700898294203528e-07
6.000005213541e-09,1,6.000005213541e-09,0,6.000005213541e-09,0.9999726898858191,6.000005213541e-09,-4.10066320550756e-05,6.000005213541e-09,1,6.000005213541e-09,0.9994786458333722,6.000005213541e-09,-1.450655694189443e-06
6.000015640625e-09,1,6.000015640625e-09,0,6.000015640625e-09,0.9999102770608023,6.000015640625e-09,-0.0001389988224393038,6.000015640625e-09,1,6.000015640625e-09,0.9984359375001166,6.000015640625e-09,-2.68612310123486e-06
6.000020854165999e-09,1,6.000020854165999e-09,0,6.000020854165999e-09,0.9998779091664605,6.000020854165999e-09,-0.0001909736676344547,6.000020854165999e-09,1,6.000020854165999e-09,0.9979145833334888,6.000020854165999e-09,-2.325526802852629e-06
6.000031281248999e-09,1,6.000031281248999e-09,0,6.000031281248999e-09,0.9998163594710966,6.000031281248999e-09,-0.0002880613810429113,6.000031281248999e-09,1,6.000031281248999e-09,0.9968718750002332,6.000031281248999e-09,-2.303896636134019e-06
6.000052135415999e-09,1,6.000052135415999e-09,0,6.000052135415999e-09,0.9996934628835193,6.000052135415999e-09,-0.000481751050846605,6.000052135415999e-09,1,6.000052135415999e-09,0.994786458333722,6.000052135415999e-09,-2.290044879360532e-06
6.000093843749e-09,1,6.000093843749e-09,0,6.000093843749e-09,0.9994533075328804,6.000093843749e-09,-0.0008577351277850966,6.000093843749e-09,1,6.000093843749e-09,0.9906156250006996,6.000093843749e-09,-2.249530658629504e-06
6.000177260415999e-09,1,6.000177260415999e-09,0,6.000177260415999e-09,0.9989909837294337,6.000177260415999e-09,-0.001572455460777054,6.000177260415999e-09,1,6.000177260415999e-09,0.9822739583346548,6.000177260415999e-09,-2.188551347936281e-06
6.000344093748999e-09,1,6.000344093748999e-09,0,6.000344093748999e-09,0.9981355524508057,6.000344093748999e-09,-0.002861939516803329,6.000344093748999e-09,1,6.000344093748999e-09,0.9655906250025652,6.000344093748999e-09,-2.068622861963981e-06
6.000677760416e-09,1,6.000677760416e-09,0,6.000677760416e-09,0.9966574241836151,6.000677760416e-09,-0.004983229526347986,6.000677760416e-09,1,6.000677760416e-09,0.932223958338386,6.000677760416e-09,-1.904110923748209e-06
6.001345093749e-09,1,6.001345093749e-09,0,6.001345093749e-09,0.9943927719549802,6.001345093749e-09,-0.007952161874006738,6.001345093749e-09,1,6.001345093749e-09,0.8654906250100276,6.001345093749e-09,-1.716694798044838e-06
6.002679760415999e-09,1,6.002679760415999e-09,0,6.002679760415999e-09,0.9915027626888538,6.002679760415999e-09,-0.01128085492489248,6.002679760415999e-09,1,6.002679760415999e-09,0.7320239583533108,6.002679760415999e-09,-1.654518100361797e-06
6.004502397986e-09,1,6.004502397986e-09,0,6.004502397986e-09,0.9895240300883521,6.004502397986e-09,-0.01301124234057062,6.004502397986e-09,1,6.004502397986e-09,0.5497602013580764,6.004502397986e-09,-1.585167201860233e-06
6.007169602739999e-09,1,6.007169602739999e-09,0,6.007169602739999e-09,0.9891784559829753,6.007169602739999e-09,-0.01006537179254506,6.007169602739999e-09,1,6.007169602739999e-09,0.2830397259136077,6.007169602739999e-09,-1.114262189015139e-06
6.008584801369999e-09,1,6.008584801369999e-09,0,6.008584801369999e-09,0.9891811124065287,6.008584801369999e-09,-0.008153072120321167,6.008584801369999e-09,1,6.008584801369999e-09,0.1415198629568039,6.008584801369999e-09,-1.510265284608305e-06
6.01e-09,1,6.01e-09,0,6.01e-09,0.9889224006536232,6.01e-09,-0.007187260004713862,6.01e-09,1,6.01e-09,0,6.01e-09,-1.367035445632246e-06
6.010001303384999e-09,1,6.010001303384999e-09,0,6.010001303384999e-09,0.9889264613181681,6.010001303384999e-09,-0.007182553258125811,6.010001303384999e-09,1,6.010001303384999e-09,0,6.010001303384999e-09,-9.458738646230786e-07
6.010003910156e-09,1,6.010003910156e-09,0,6.010003910156e-09,0.988937043277991,6.010003910156e-09,-0.007170534196436741,6.010003910156e-09,1,6.010003910156e-09,0,6.010003910156e-09,-2.678077596162171e-07
6.010005213540999e-09,1,6.010005213540999e-09,0,6.010005213540999e-09,0.9889431777320715,6.010005213540999e-09,-0.007163445655312568,6.010005213540999e-09,1,6.010005213540999e-09,0,6.010005213540999e-09,-1.373451180912366e-07
6.010007820312e-09,1,6.010007820312e-09,0,6.010007820312e-09,0.9889544235101128,6.010007820312e-09,-0.007150036465409943,6.010007820312e-09,1,6.010007820312e-09,0,6.010007820312e-09,-1.069702497366884e-07
6.010013033853999e-09,1,6.010013033853999e-09,0,6.010013033853999e-09,0.9889759526473177,6.010013033853999e-09,-0.007124282812720019,6.010013033853999e-09,1,6.010013033853999e-09,0,6.010013033853999e-09,-9.542260880443667e-08
6.010023460936999e-09,1,6.010023460936999e-09,0,6.010023460936999e-09,0.9890179359214684,6.010023460936999e-09,-0.007074025672822957,6.010023460936999e-09,1,6.010023460936999e-09,0,6.010023460936999e-09,-1.288652557996642e-07
6.010044315103999e-09,1,6.010044315103999e-09,0,6.010044315103999e-09,0.9891010271165611,6.010044315103999e-09,-0.006974836492532963,6.010044315103999e-09,1,6.010044315103999e-09,0,6.010044315103999e-09,-1.220398424485507e-07
6.010086023436999e-09,1,6.010086023436999e-09,0,6.010086023436999e-09,0.9892647875970325,6.010086023436999e-09,-0.006780191128556592,6.010086023436999e-09,1,6.010086023436999e-09,0,6.010086023436999e-09,-1.376246348449556e-07
6.010169440103999e-09,1,6.010169440103999e-09,0,6.010169440103999e-09,0.9895829872358373,6.010169440103999e-09,-0.006405620580159919,6.010169440103999e-09,1,6.010169440103999e-09,0,6.010169440103999e-09,-1.419977632373973e-07
6.010336273437e-09,1,6.010336273437e-09,0,6.010336273437e-09,0.9901840105998894,6.010336273437e-09,-0.005711721282220163,6.010336273437e-09,1,6.010336273437e-09,0,6.010336273437e-09,-1.729409521818724e-07
6.010669940104e-09,1,6.010669940104e-09,0,6.010669940104e-09,0.9912592001294381,6.010669940104e-09,-0.004519955507036156,6.010669940104e-09,1,6.010669940104e-09,0,6.010669940104e-09,-2.011934723107508e-07
6.011337273437e-09,1,6.011337273437e-09,0,6.011337273437e-09,0.9929972279842857,6.011337273437e-09,-0.00275675460998109,6.011337273437e-09,1,6.011337273437e-09,0,6.011337273437e-09,-2.526113228270274e-07
6.012671940102999e-09,1,6.012671940102999e-09,0,6.012671940102999e-09,0.9953496221091045,6.012671940102999e-09,-0.000818083185687824,6.012671940102999e-09,1,6.012671940102999e-09,0,6.012671940102999e-09,-2.607185723617549e-07
6.015238075166999e-09,1,6.015238075166999e-09,0,6.015238075166999e-09,0.997672432313206,6.015238075166999e-09,0.0002474452511599865,6.015238075166999e-09,1,6.015238075166999e-09,0,6.015238075166999e-09,-2.088361973287769e-07
6.018468271104e-09,1,6.018468271104e-09,0,6.018468271104e-09,0.9988990676227171,6.018468271104e-09,0.0002363084084912182,6.018468271104e-09,1,6.018468271104e-09,0,6.018468271104e-09,-9.517191095024359e-08
6.022935636591999e-09,1,6.022935636591999e-09,0,6.022935636591999e-09,0.9996022186010317,6.022935636591999e-09,9.661676337577546e-05,6.022935636591999e-09,1,6.022935636591999e-09,0,6.022935636591999e-09,-4.806483369371842e-08
6.030063975138e-09,1,6.030063975138e-09,0,6.030063975138e-09,0.9999430631904005,6.030063975138e-09,1.54580805552731e-05,6.030063975138e-09,1,6.030063975138e-09,0,6.030063975138e-09,3.587158903622115e-09
6.042333522592999e-09,1,6.042333522592999e-09,0,6.042333522592999e-09,1.000010033198941,6.042333522592999e-09,-3.142729549857461e-06,6.042333522592999e-09,1,6.042333522592999e-09,0,6.042333522592999e-09,-8.814723516642761e-09
6.062298618502e-09,1,6.062298618502e-09,0,6.062298618502e-09,0.9999985330359267,6.062298618502e-09,7.883989582756971e-07,6.062298618502e-09,1,6.062298618502e-09,0,6.062298618502e-09,9.356579949547972e-09
