/BL (modelFiles=gpdk045.scs:ff) X,/BL (modelFiles=gpdk045.scs:ff) Y,/BLB (modelFiles=gpdk045.scs:ff) X,/BLB (modelFiles=gpdk045.scs:ff) Y,/Q (modelFiles=gpdk045.scs:ff) X,/Q (modelFiles=gpdk045.scs:ff) Y,/QB (modelFiles=gpdk045.scs:ff) X,/QB (modelFiles=gpdk045.scs:ff) Y,/VDD (modelFiles=gpdk045.scs:ff) X,/VDD (modelFiles=gpdk045.scs:ff) Y,/WL (modelFiles=gpdk045.scs:ff) X,/WL (modelFiles=gpdk045.scs:ff) Y,/V0/PLUS (modelFiles=gpdk045.scs:ff) X,/V0/PLUS (modelFiles=gpdk045.scs:ff) Y
2.990161592881e-09,1.2,2.990161592881e-09,0,2.990161592881e-09,0.0007986770239243593,2.990161592881e-09,1.200886378126447,2.990161592881e-09,1.2,2.990161592881e-09,0.01939114583272973,2.990161592881e-09,1.450905679010658e-06
2.990328398437e-09,1.2,2.990328398437e-09,0,2.990328398437e-09,0.001542073161353098,2.990328398437e-09,1.201739268371967,2.990328398437e-09,1.2,2.990328398437e-09,0.03940781249877334,2.990328398437e-09,1.703307058252364e-06
2.990662009548e-09,1.2,2.990662009548e-09,0,2.990662009548e-09,0.002837762691093867,2.990662009548e-09,1.203278052176246,2.990662009548e-09,1.2,2.990662009548e-09,0.07944114583086052,2.990662009548e-09,1.518954085334004e-06
2.99132923177e-09,1.2,2.99132923177e-09,0,2.99132923177e-09,0.004853396961928454,2.99132923177e-09,1.205802502548485,2.99132923177e-09,1.2,2.99132923177e-09,0.1595078124950349,2.99132923177e-09,1.840098287960121e-06
2.992663676215e-09,1.2,2.992663676215e-09,0,2.992663676215e-09,0.008054701827388806,2.992663676215e-09,1.209256687222034,2.992663676215e-09,1.2,2.992663676215e-09,0.3196411458233837,2.992663676215e-09,1.872823665762741e-06
2.994960508941e-09,1.2,2.994960508941e-09,0,2.994960508941e-09,0.01973884383340396,2.994960508941e-09,1.201891899583073,2.994960508941e-09,1.2,2.994960508941e-09,0.5952610729523866,2.994960508941e-09,-1.743904980316028e-07
2.997230047526e-09,1.2,2.997230047526e-09,0,2.997230047526e-09,0.05143513877247944,2.997230047526e-09,1.150036391538076,2.997230047526e-09,1.2,2.997230047526e-09,0.8676057031331103,2.997230047526e-09,-1.339647360258282e-05
2.998615023763e-09,1.2,2.998615023763e-09,0,2.998615023763e-09,0.08562948167607153,2.998615023763e-09,1.081148056484072,2.998615023763e-09,1.2,2.998615023763e-09,1.033802851566555,2.998615023763e-09,-2.176359973838161e-05
2.999307511881e-09,1.2,2.999307511881e-09,0,2.999307511881e-09,0.1080768339984278,2.999307511881e-09,1.033368663722944,2.999307511881e-09,1.2,2.999307511881e-09,1.116901425783277,2.999307511881e-09,-2.570266247035445e-05
3e-09,1.2,3e-09,0,3e-09,0.1358294242436114,3e-09,0.9755975970163284,3e-09,1.2,3e-09,1.2,3e-09,-2.757420669474991e-05
3.000005212673e-09,1.2,3.000005212673e-09,0,3.000005212673e-09,0.1360043258138148,3.000005212673e-09,0.9750926108483315,3.000005212673e-09,1.2,3.000005212673e-09,1.2,3.000005212673e-09,-2.975338171237603e-05
3.00001563802e-09,1.2,3.00001563802e-09,0,3.00001563802e-09,0.1363200667320276,3.00001563802e-09,0.9740623705936892,3.00001563802e-09,1.2,3.00001563802e-09,1.2,3.00001563802e-09,-3.151981754419977e-05
3.000020850694e-09,1.2,3.000020850694e-09,0,3.000020850694e-09,0.1364668327176401,3.000020850694e-09,0.9735411732286987,3.000020850694e-09,1.2,3.000020850694e-09,1.2,3.000020850694e-09,-3.119237637843678e-05
3.000023457031e-09,1.2,3.000023457031e-09,0,3.000023457031e-09,0.1365426629447235,3.000023457031e-09,0.97328226219851,3.000023457031e-09,1.2,3.000023457031e-09,1.2,3.000023457031e-09,-3.117022210156904e-05
3.000028669704e-09,1.2,3.000028669704e-09,0,3.000028669704e-09,0.1366934200592703,3.000028669704e-09,0.9727641965564832,3.000028669704e-09,1.2,3.000028669704e-09,1.2,3.000028669704e-09,-3.120017531820921e-05
3.000039095052e-09,1.2,3.000039095052e-09,0,3.000039095052e-09,0.1369954275119867,3.000039095052e-09,0.9717292131747509,3.000039095052e-09,1.2,3.000039095052e-09,1.2,3.000039095052e-09,-3.119964356170482e-05
3.000059945746e-09,1.2,3.000059945746e-09,0,3.000059945746e-09,0.1376007504625733,3.000059945746e-09,0.9696628632992776,3.000059945746e-09,1.2,3.000059945746e-09,1.2,3.000059945746e-09,-3.126871392909865e-05
3.000101647135e-09,1.2,3.000101647135e-09,0,3.000101647135e-09,0.1388166420848732,3.000101647135e-09,0.9655449328412753,3.000101647135e-09,1.2,3.000101647135e-09,1.2,3.000101647135e-09,-3.134911514403085e-05
3.000185049913e-09,1.2,3.000185049913e-09,0,3.000185049913e-09,0.141269564882026,3.000185049913e-09,0.9573686126470115,3.000185049913e-09,1.2,3.000185049913e-09,1.2,3.000185049913e-09,-3.156042911486174e-05
3.000351855468e-09,1.2,3.000351855468e-09,0,3.000351855468e-09,0.1462610872733364,3.000351855468e-09,0.9412565090872758,3.000351855468e-09,1.2,3.000351855468e-09,1.2,3.000351855468e-09,-3.191748130382302e-05
3.000685466579e-09,1.2,3.000685466579e-09,0,3.000685466579e-09,0.1565854811093051,3.000685466579e-09,0.9099793388680879,3.000685466579e-09,1.2,3.000685466579e-09,1.2,3.000685466579e-09,-3.259287091043392e-05
