/BL (modelFiles=gpdk045.scs:tt) X,/BL (modelFiles=gpdk045.scs:tt) Y,/BLB (modelFiles=gpdk045.scs:tt) X,/BLB (modelFiles=gpdk045.scs:tt) Y,/Q (modelFiles=gpdk045.scs:tt) X,/Q (modelFiles=gpdk045.scs:tt) Y,/QB (modelFiles=gpdk045.scs:tt) X,/QB (modelFiles=gpdk045.scs:tt) Y,/VDD (modelFiles=gpdk045.scs:tt) X,/VDD (modelFiles=gpdk045.scs:tt) Y,/WL (modelFiles=gpdk045.scs:tt) X,/WL (modelFiles=gpdk045.scs:tt) Y,/V0/PLUS (modelFiles=gpdk045.scs:tt) X,/V0/PLUS (modelFiles=gpdk045.scs:tt) Y
4.014354244085999e-09,1,4.014354244085999e-09,0,4.014354244085999e-09,0.428127842253996,4.014354244085999e-09,0.1172791137835755,4.014354244085999e-09,1,4.014354244085999e-09,1,4.014354244085999e-09,-2.125401833043064e-05
4.017062841915999e-09,1,4.017062841915999e-09,0,4.017062841915999e-09,0.5559143484290703,4.017062841915999e-09,0.06532238278259773,4.017062841915999e-09,1,4.017062841915999e-09,1,4.017062841915999e-09,-2.002109670107639e-05
4.019117180382999e-09,1,4.019117180382999e-09,0,4.019117180382999e-09,0.6595917060762024,4.019117180382999e-09,0.04405531973407708,4.019117180382999e-09,1,4.019117180382999e-09,1,4.019117180382999e-09,-1.92293906795144e-05
4.021468548379e-09,1,4.021468548379e-09,0,4.021468548379e-09,0.7669698220828443,4.021468548379e-09,0.02924560199899154,4.021468548379e-09,1,4.021468548379e-09,1,4.021468548379e-09,-1.611799894160666e-05
4.023603178577999e-09,1,4.023603178577999e-09,0,4.023603178577999e-09,0.8451193463875073,4.023603178577999e-09,0.01970306826981437,4.023603178577999e-09,1,4.023603178577999e-09,1,4.023603178577999e-09,-1.276417219546115e-05
4.026181281737999e-09,1,4.026181281737999e-09,0,4.026181281737999e-09,0.9093004046438694,4.026181281737999e-09,0.01151277560149486,4.026181281737999e-09,1,4.026181281737999e-09,1,4.026181281737999e-09,-7.526629547726945e-06
4.029505025943999e-09,1,4.029505025943999e-09,0,4.029505025943999e-09,0.9554272084858642,4.029505025943999e-09,0.005448153409387578,4.029505025943999e-09,1,4.029505025943999e-09,1,4.029505025943999e-09,-4.195772741827809e-06
4.032663942294e-09,1,4.032663942294e-09,0,4.032663942294e-09,0.9775464241335139,4.032663942294e-09,0.002704721444701943,4.032663942294e-09,1,4.032663942294e-09,1,4.032663942294e-09,-1.803460140052568e-06
4.035677621306e-09,1,4.035677621306e-09,0,4.035677621306e-09,0.9884048216954852,4.035677621306e-09,0.00139674693541539,4.035677621306e-09,1,4.035677621306e-09,1,4.035677621306e-09,-1.298122780675642e-06
4.039243779856e-09,1,4.039243779856e-09,0,4.039243779856e-09,0.9947871945339044,4.039243779856e-09,0.0006258683904818774,4.039243779856e-09,1,4.039243779856e-09,1,4.039243779856e-09,-2.486600419297036e-07
